Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 55.52      3.12     3.12 27014778     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<std::_List_iterator<int> >(std::_List_iterator<int>)
 12.46      3.82     0.70        1   700.00   737.47  Graph::printGraph()
  8.01      4.27     0.45 28813929     0.00     0.00  std::_List_iterator<int>::operator++()
  5.87      4.60     0.33  3600000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::construct<int, int const&>(int*, int const&)
  5.87      4.93     0.33    60000     0.01     0.01  std::__cxx11::_List_base<int, std::allocator<int> >::_M_clear()
  1.78      5.03     0.10   930849     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  1.60      5.12     0.09   900849     0.00     0.00  std::_List_iterator<int> std::__find_if<std::_List_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const> >(std::_List_iterator<int>, std::_List_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::input_iterator_tag)
  1.25      5.19     0.07  1800000     0.00     0.00  std::_List_const_iterator<int>::operator++()
  0.89      5.24     0.05 36014778     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.62      5.28     0.04 36014778     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.53      5.30     0.03 36014778     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.53      5.33     0.03  3600000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_put_node(std::_List_node<int>*)
  0.44      5.36     0.03 16200000     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.36      5.38     0.02  3600000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_inc_size(unsigned long)
  0.36      5.40     0.02  2702548     0.00     0.00  Graph::getAdjList[abi:cxx11]()
  0.36      5.42     0.02                             _init
  0.27      5.43     0.01  3600000     0.00     0.00  std::_List_node<int>* std::__cxx11::list<int, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.18      5.45     0.01  7200000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.18      5.46     0.01  4532548     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.18      5.46     0.01  3600000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.18      5.47     0.01  3600000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.18      5.49     0.01  3600000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.18      5.50     0.01  3600000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.18      5.50     0.01  3600000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.18      5.51     0.01  3600000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.18      5.53     0.01  3600000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.18      5.54     0.01  3600000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
